Usuario;Nombre;mail;userType;jobTitle;country;city;postalCode;telephoneNumber
minzhou@landonhotel.com;minzhou;minzhou@landonhotel.com;Member;Catering Assistant;México;Ciudad de México;;
siwen.L@landonhotel.com;siwen.L;siwen.L@landonhotel.com;Member;employee;México;Ciudad de México;;
mingsun@landonhotel.com;mingsun;mingsun@landonhotel.com;Member;employee;Colombia;Bogotá;;
leizhang@landonhotel.com;leizhang;leizhang@landonhotel.com;Member;Catering Assistant;Colombia;Bogotá;;
ytachikawa@landonhotel.com;ytachikawa;ytachikawa@landonhotel.com;Member;Catering Assistant;Colombia;Bogotá;;
Xiaoming.J@landonhotel.com;Xiaoming.J;Xiaoming.J@landonhotel.com;Member;employee;Colombia;Bogotá;;
weili@landonhotel.com;weili;weili@landonhotel.com;Member;employee;Perú;Lima;;
fangwang@landonhotel.com;fangwang;fangwang@landonhotel.com;Member;employee;Perú;Lima;;
xiazhao@landonhotel.com;xiazhao;xiazhao@landonhotel.com;Member;employee;Colombia;Bogotá;;
Vivian.L@landonhotel.com;Vivian.L;Vivian.L@landonhotel.com;Member;employee;Colombia;Bogotá;;
tiizuka@landonhotel.com;tiizuka;tiizuka@landonhotel.com;Member;employee;Colombia;Bogotá;;
ktakahashi@landonhotel.com;ktakahashi;ktakahashi@landonhotel.com;Member;employee;Colombia;Bogotá;;
